grid_id,pedestrian_10h,pedestrian_18h,pedestrian_22h,pattern
G006223,426.6905011023661,354.43395957310224,195.67006113776384,"10h=426.6905, 18h=354.4340, 22h=195.6701"
G006509,383.7981802610637,352.7216802605891,267.9449782076523,"10h=383.7982, 18h=352.7217, 22h=267.9450"
G006364,383.7643845561693,352.71723057441034,267.99287065582143,"10h=383.7644, 18h=352.7172, 22h=267.9929"
G006507,383.7643845561693,352.71723057441034,267.99287065582143,"10h=383.7644, 18h=352.7172, 22h=267.9929"
G006508,383.7643845561693,352.71723057441034,267.99287065582143,"10h=383.7644, 18h=352.7172, 22h=267.9929"
G006649,383.7643845561693,352.71723057441034,267.99287065582143,"10h=383.7644, 18h=352.7172, 22h=267.9929"
G014812,285.54499910309386,352.6178223374317,472.1212244606287,"10h=285.5450, 18h=352.6178, 22h=472.1212"
G008113,223.2619259705859,350.0664160262796,296.10953216941203,"10h=223.2619, 18h=350.0664, 22h=296.1095"
G012840,462.0375941877139,348.4845256931094,405.46857856391995,"10h=462.0376, 18h=348.4845, 22h=405.4686"
G006073,419.5964611713438,347.80907827117386,190.87711593729418,"10h=419.5965, 18h=347.8091, 22h=190.8771"
G006213,291.30838008635254,347.60088445709005,637.297832306522,"10h=291.3084, 18h=347.6009, 22h=637.2978"
G006225,418.9458254108551,345.36571248302414,189.16694811365275,"10h=418.9458, 18h=345.3657, 22h=189.1669"
G005387,427.2009575205435,344.02639540053445,156.73439161503103,"10h=427.2010, 18h=344.0264, 22h=156.7344"
G012841,467.36901939784264,342.86581220084867,396.8071494105766,"10h=467.3690, 18h=342.8658, 22h=396.8071"
G006365,370.9983377419059,341.01500665788603,256.81884523497126,"10h=370.9983, 18h=341.0150, 22h=256.8188"
G005900,382.89373465278265,340.41713367009163,295.4822664711264,"10h=382.8937, 18h=340.4171, 22h=295.4823"
G006067,222.64647840693095,339.4762963482615,568.3660233883003,"10h=222.6465, 18h=339.4763, 22h=568.3660"
G008244,208.35018212686657,338.6565875121505,264.23031288862484,"10h=208.3502, 18h=338.6566, 22h=264.2303"
G008383,138.2379849067216,337.6922640041818,196.04675251975112,"10h=138.2380, 18h=337.6923, 22h=196.0468"
G005932,385.43386900080935,337.2199090016207,259.04758945863557,"10h=385.4339, 18h=337.2199, 22h=259.0476"
G005933,404.04551141605197,336.7905245990443,184.91504326642067,"10h=404.0455, 18h=336.7905, 22h=184.9150"
G014811,272.6341418239673,336.6440070600317,450.6389719447703,"10h=272.6341, 18h=336.6440, 22h=450.6390"
G005934,403.32371401309865,336.25194910347625,184.67181223584828,"10h=403.3237, 18h=336.2519, 22h=184.6718"
G006506,363.1383118052474,335.99158634615577,242.40771307602327,"10h=363.1383, 18h=335.9916, 22h=242.4077"
G006214,289.10392235243603,332.60047404545804,361.91357451235615,"10h=289.1039, 18h=332.6005, 22h=361.9136"
G008121,133.7089424752301,332.52535676228865,214.78219001374126,"10h=133.7089, 18h=332.5254, 22h=214.7822"
G003841,315.0699909470238,331.5007130962528,542.2613040903389,"10h=315.0700, 18h=331.5007, 22h=542.2613"
G005797,402.80275044515463,330.518029591138,181.28841563084893,"10h=402.8028, 18h=330.5180, 22h=181.2884"
G006615,528.9021982106531,330.2241385930723,161.53063688678617,"10h=528.9022, 18h=330.2241, 22h=161.5306"
G006041,380.11727314061983,330.0545193803263,267.25935208733506,"10h=380.1173, 18h=330.0545, 22h=267.2594"
G004987,404.4419556201071,329.43842774735174,146.0260247512639,"10h=404.4420, 18h=329.4384, 22h=146.0260"
G006614,527.4218749219615,329.371867613627,161.9612579818634,"10h=527.4219, 18h=329.3719, 22h=161.9613"
G003613,344.91626377516013,329.29185392900126,177.0895436494829,"10h=344.9163, 18h=329.2919, 22h=177.0895"
G014458,341.20612821080255,328.1277217277084,331.31932489471745,"10h=341.2061, 18h=328.1277, 22h=331.3193"
G008123,144.93417079084026,326.773273447906,157.09264325197046,"10h=144.9342, 18h=326.7733, 22h=157.0926"
G004989,407.3258244586458,326.41974724676504,151.28663865843046,"10h=407.3258, 18h=326.4197, 22h=151.2866"
G005924,258.99871121057527,325.5165832909645,691.1910365749465,"10h=258.9987, 18h=325.5166, 22h=691.1910"
